state_code,metro_area_name,col_index,data_year,data_source
06,San Francisco-Oakland-Hayward CA,178.5,2023,Placeholder
36,New York-Newark-Jersey City NY-NJ-PA,168.2,2023,Placeholder
06,San Jose-Sunnyvale-Santa Clara CA,165.3,2023,Placeholder
02,Urban Alaska,151.8,2023,Placeholder
15,Urban Hawaii,148.6,2023,Placeholder
11,Washington-Arlington-Alexandria DC-VA-MD-WV,142.3,2023,Placeholder
25,Boston-Cambridge-Newton MA-NH,139.7,2023,Placeholder
06,Los Angeles-Long Beach-Anaheim CA,137.6,2023,Placeholder
06,San Diego-Carlsbad CA,135.8,2023,Placeholder
09,Urban Connecticut,133.2,2023,Placeholder
53,Seattle-Tacoma-Bellevue WA,131.5,2023,Placeholder
42,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,124.8,2023,Placeholder
24,Baltimore-Columbia-Towson MD,121.7,2023,Placeholder
26,Detroit-Warren-Dearborn MI,118.6,2023,Placeholder
17,Chicago-Naperville-Elgin IL-IN-WI,117.9,2023,Placeholder
27,Minneapolis-St. Paul-Bloomington MN-WI,116.3,2023,Placeholder
36,Urban New York,115.8,2023,Placeholder
41,Portland-Vancouver-Hillsboro OR-WA,115.2,2023,Placeholder
04,Phoenix-Mesa-Scottsdale AZ,113.6,2023,Placeholder
08,Denver-Aurora-Lakewood CO,112.9,2023,Placeholder
06,Riverside-San Bernardino-Ontario CA,111.8,2023,Placeholder
12,Miami-Fort Lauderdale-West Palm Beach FL,110.7,2023,Placeholder
36,Urban Upstate NY,108.4,2023,Placeholder
39,Cincinnati-Middletown OH-KY-IN,107.2,2023,Placeholder
47,Nashville-Davidson--Murfreesboro--Franklin TN,106.8,2023,Placeholder
29,St. Louis MO-IL,106.3,2023,Placeholder
48,Dallas-Fort Worth-Arlington TX,105.9,2023,Placeholder
13,Atlanta-Sandy Springs-Roswell GA,105.6,2023,Placeholder
48,Houston-The Woodlands-Sugar Land TX,104.8,2023,Placeholder
34,Urban New Jersey,104.5,2023,Placeholder
37,Charlotte-Concord-Gastonia NC-SC,103.2,2023,Placeholder
42,Pittsburgh PA,102.7,2023,Placeholder
06,Sacramento--Roseville--Arden-Arcade CA,102.3,2023,Placeholder
51,Urban Virginia,101.8,2023,Placeholder
04,Urban Arizona,101.2,2023,Placeholder
00,United States average,100.0,2023,Placeholder
